Date,Qty,MRP,SP,Promotions,Category,Sales_Qty,closing-inventory,Average_OOS,year,month,day,dayofyear,week,diff
2016-01-03,55,773,695,0.10090556274256146,Cat2,57,513,0.8624338624338624,2016,1,3,3,53,0
2016-01-10,0,765,697,0.0888888888888889,Cat2,94,419,0.8518518518518519,2016,1,10,10,1,37
2016-01-17,112,956,749,0.2165271966527197,Cat2,139,392,0.8148148148148149,2016,1,17,17,2,45
2016-01-24,17,916,754,0.17685589519650657,Cat2,102,307,0.9259259259259259,2016,1,24,24,3,-37
2016-01-31,0,902,740,0.17960088691796006,Cat2,129,178,0.8465608465608465,2016,1,31,31,4,27
2016-02-07,0,877,765,0.12770809578107178,Cat2,98,80,0.8471337579617835,2016,2,7,38,5,-31
2016-02-14,60,923,783,0.15167930660888407,Cat2,76,64,0.8152866242038217,2016,2,14,45,6,-22
2016-02-21,60,837,743,0.1123058542413381,Cat2,85,39,0.910828025477707,2016,2,21,52,7,9
2016-02-28,229,851,812,0.04582843713278495,Cat2,59,209,0.9299363057324841,2016,2,28,59,8,-26
2016-03-06,0,794,794,0.0,Cat2,72,137,0.874251497005988,2016,3,6,66,9,13
2016-03-13,224,727,727,0.0,Cat2,63,298,0.9041916167664671,2016,3,13,73,10,-9
2016-03-20,0,748,748,0.0,Cat2,66,232,0.874251497005988,2016,3,20,80,11,3
2016-03-27,91,795,795,0.0,Cat2,95,228,0.9341317365269461,2016,3,27,87,12,29
2016-04-03,0,809,809,0.0,Cat2,115,113,0.8313253012048193,2016,4,3,94,13,20
2016-04-10,0,825,825,0.0,Cat2,91,22,0.9096385542168675,2016,4,10,101,14,-24
2016-04-17,0,823,823,0.0,Cat2,107,-85,0.8554216867469879,2016,4,17,108,15,16
2016-04-24,0,828,828,0.0,Cat2,82,-167,0.8975903614457832,2016,4,24,115,16,-25
2016-05-01,0,848,848,0.0,Cat2,73,-240,0.9106145251396648,2016,5,1,122,17,-9
2016-05-08,104,717,717,0.0,Cat2,66,-202,0.9497206703910615,2016,5,8,129,18,-7
2016-05-15,0,599,599,0.0,Cat2,82,-284,0.9106145251396648,2016,5,15,136,19,16
2016-05-22,78,825,825,0.0,Cat2,113,-319,0.7597765363128491,2016,5,22,143,20,31
2016-05-29,0,795,795,0.0,Cat2,95,-414,0.8603351955307262,2016,5,29,150,21,-18
2016-06-05,72,847,847,0.0,Cat2,87,-429,0.8961038961038961,2016,6,5,157,22,-8
2016-06-12,0,822,822,0.0,Cat2,70,-499,0.8896103896103896,2016,6,12,164,23,-17
2016-06-19,0,822,822,0.0,Cat2,75,-574,0.9415584415584416,2016,6,19,171,24,5
2016-06-26,372,769,769,0.0,Cat2,72,-274,0.9155844155844156,2016,6,26,178,25,-3
2016-07-03,-110,895,645,0.2793296089385475,Cat2,187,-571,0.8304347826086956,2016,7,3,185,26,115
2016-07-10,84,907,607,0.3307607497243661,Cat2,159,-646,0.8913043478260869,2016,7,10,192,27,-28
2016-07-17,262,823,659,0.19927095990279464,Cat2,138,-522,0.8347826086956522,2016,7,17,199,28,-21
2016-07-24,0,869,738,0.15074798619102414,Cat2,156,-678,0.8739130434782609,2016,7,24,206,29,18
2016-07-31,19,759,665,0.12384716732542822,Cat2,76,-735,0.8652173913043478,2016,7,31,213,30,-80
2016-08-07,0,830,772,0.0698795180722892,Cat2,113,-848,0.8843930635838151,2016,8,7,220,31,37
2016-08-14,0,799,707,0.11514392991239053,Cat2,88,-936,0.8786127167630058,2016,8,14,227,32,-25
2016-08-21,83,907,834,0.08048511576626238,Cat2,76,-929,0.8901734104046243,2016,8,21,234,33,-12
2016-08-28,0,800,800,0.0,Cat2,46,-975,0.9595375722543352,2016,8,28,241,34,-30
2016-09-04,0,787,776,0.013977128335451061,Cat2,58,-1033,0.9148936170212766,2016,9,4,248,35,12
2016-09-11,147,783,783,0.0,Cat2,56,-942,0.9574468085106383,2016,9,11,255,36,-2
2016-09-18,125,846,846,0.0,Cat2,57,-874,0.851063829787234,2016,9,18,262,37,1
2016-09-25,43,817,817,0.0,Cat2,65,-896,0.8936170212765957,2016,9,25,269,38,8
2016-10-02,0,866,866,0.0,Cat2,60,-956,0.88125,2016,10,2,276,39,-5
2016-10-09,0,754,754,0.0,Cat2,73,-1029,0.8375,2016,10,9,283,40,13
2016-10-16,0,813,783,0.03690036900369009,Cat2,105,-1134,0.83125,2016,10,16,290,41,32
